# Chunk-averaged data for fix profA and group Cl_atoms
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
104000 82 4.999999999999999
  7 5.94949 0 0
  8 6.44949 0 0
  9 6.94949 0 0
  10 7.44949 0 0
  11 7.94949 0 0
  12 8.44949 0 0
  13 8.94949 0 0
  14 9.44949 0 0
  15 9.94949 0 0
  16 10.4495 0 0
  17 10.9495 0 0
  18 11.4495 0 0
  19 11.9495 0 0
  20 12.4495 0 0
  21 12.9495 0 0
  22 13.4495 0 0
  23 13.9495 0 0
  24 14.4495 0.114286 0.00136618
  25 14.9495 0.771429 0.00922174
  26 15.4495 0.114286 0.00136618
  27 15.9495 0 0
  28 16.4495 0 0
  29 16.9495 0 0
  30 17.4495 0 0
  31 17.9495 0 0
  32 18.4495 0 0
  33 18.9495 0 0
  34 19.4495 0 0
  35 19.9495 0.00714286 8.53865e-05
  36 20.4495 0.0428571 0.000512319
  37 20.9495 0.15 0.00179312
  38 21.4495 0.1 0.00119541
  39 21.9495 0.164286 0.00196389
  40 22.4495 0.285714 0.00341546
  41 22.9495 0.221429 0.00264698
  42 23.4495 0.0142857 0.000170773
  43 23.9495 0.0142857 0.000170773
  44 24.4495 0.00714286 8.53865e-05
  45 24.9495 0.15 0.00179312
  46 25.4495 0.285714 0.00341546
  47 25.9495 0.321429 0.00384239
  48 26.4495 0.107143 0.0012808
  49 26.9495 0.0571429 0.000683092
  50 27.4495 0.0285714 0.000341546
  51 27.9495 0.0428571 0.000512319
  52 28.4495 0.0428571 0.000512319
  53 28.9495 0.278571 0.00333007
  54 29.4495 0.714286 0.00853865
  55 29.9495 0.528571 0.0063186
  56 30.4495 0.292857 0.00350085
  57 30.9495 0.128571 0.00153696
  58 31.4495 0.0142857 0.000170773
  59 31.9495 0 0
  60 32.4495 0 0
  61 32.9495 0 0
  62 33.4495 0 0
  63 33.9495 0 0
  64 34.4495 0 0
  65 34.9495 0 0
  66 35.4495 0 0
  67 35.9495 0 0
  68 36.4495 0 0
  69 36.9495 0 0
  70 37.4495 0 0
  71 37.9495 0 0
  72 38.4495 0 0
  73 38.9495 0 0
  74 39.4495 0 0
  75 39.9495 0 0
  76 40.4495 0 0
  77 40.9495 0 0
  78 41.4495 0 0
  79 41.9495 0 0
  80 42.4495 0 0
  81 42.9495 0 0
  82 43.4495 0 0
132000 82 40.00000000000001
  1 2.94949 0 0
  2 3.44949 0 0
  3 3.94949 0 0
  4 4.44949 0 0
  5 4.94949 0 0
  6 5.44949 0 0
  7 5.94949 0 0
  8 6.44949 0 0
  9 6.94949 0 0
  10 7.44949 0 0
  11 7.94949 0 0
  12 8.44949 0 0
  13 8.94949 0 0
  14 9.44949 0 0
  15 9.94949 0 0
  16 10.4495 0 0
  17 10.9495 0 0
  18 11.4495 0 0
  19 11.9495 0 0
  20 12.4495 0 0
  21 12.9495 0 0
  22 13.4495 0 0
  23 13.9495 0 0
  24 14.4495 0.1125 0.00134484
  25 14.9495 0.775 0.00926443
  26 15.4495 0.1125 0.00134484
  27 15.9495 0 0
  28 16.4495 0 0
  29 16.9495 0 0
  30 17.4495 0 0
  31 17.9495 0 0
  32 18.4495 0 0
  33 18.9495 0 0
  34 19.4495 0 0
  35 19.9495 0.00625 7.47132e-05
  36 20.4495 0.04375 0.000522992
  37 20.9495 0.20625 0.00246553
  38 21.4495 0.13125 0.00156898
  39 21.9495 0.14375 0.0017184
  40 22.4495 0.25 0.00298853
  41 22.9495 0.19375 0.00231611
  42 23.4495 0.0125 0.000149426
  43 23.9495 0.0125 0.000149426
  44 24.4495 0.00625 7.47132e-05
  45 24.9495 0.13125 0.00156898
  46 25.4495 0.25 0.00298853
  47 25.9495 0.28125 0.00336209
  48 26.4495 0.09375 0.0011207
  49 26.9495 0.05 0.000597705
  50 27.4495 0.025 0.000298853
  51 27.9495 0.0875 0.00104598
  52 28.4495 0.10625 0.00127012
  53 28.9495 0.30625 0.00366095
  54 29.4495 0.6875 0.00821845
  55 29.9495 0.54375 0.00650005
  56 30.4495 0.3 0.00358623
  57 30.9495 0.11875 0.00141955
  58 31.4495 0.0125 0.000149426
  59 31.9495 0 0
  60 32.4495 0 0
  61 32.9495 0 0
  62 33.4495 0 0
  63 33.9495 0 0
